epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,9187.01,1.18802,1.78584,1.33516,0.00951,1.06015,0.71289,0.65194,0.67607,0.4781,0.70607,0.64418,0.66873,0.50003,1.42334,2.21572,1.64721,0.0272,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9582.13,1.20639,1.80527,1.34815,0.00952,1.0392,0.65152,0.63776,0.66236,0.47713,0.6717,0.63992,0.66386,0.49986,1.40349,2.15792,1.72152,0.02641,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9975.91,1.18563,1.76429,1.3079,0.00926,1.01455,0.71169,0.63121,0.67898,0.48709,0.70747,0.62465,0.67092,0.50555,1.38887,2.13319,1.65211,0.02634,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10370.2,1.17798,1.73885,1.30919,0.009,0.99173,0.72607,0.64399,0.68173,0.48728,0.7314,0.64513,0.68185,0.51048,1.41607,2.19563,1.65912,0.02676,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,10764.9,1.17083,1.73558,1.2774,0.00891,0.98099,0.70394,0.64262,0.67873,0.50086,0.70273,0.63979,0.66803,0.51213,1.37958,2.21677,1.7101,0.02525,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11160.2,1.16596,1.74299,1.27652,0.00896,0.99215,0.69779,0.65206,0.6781,0.50159,0.70378,0.64294,0.67724,0.51162,1.3918,2.13248,1.60844,0.02568,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11554.8,1.1501,1.70553,1.258,0.00892,0.96072,0.67642,0.66389,0.69298,0.50282,0.66996,0.66213,0.68607,0.52041,1.37014,2.09214,1.58784,0.02502,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,11949.4,1.13639,1.71729,1.25625,0.00911,0.99316,0.73047,0.64748,0.69609,0.50809,0.70699,0.65237,0.6889,0.51748,1.36182,2.14153,1.58587,0.025,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12342.4,1.14792,1.70773,1.23424,0.00911,0.97945,0.74856,0.64971,0.6888,0.49974,0.75194,0.64852,0.68584,0.50578,1.38775,2.17135,1.66697,0.02589,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,12735.5,1.13966,1.69002,1.23386,0.00891,0.97957,0.71808,0.66249,0.71379,0.52899,0.71985,0.65838,0.71114,0.54173,1.35198,2.03703,1.46583,0.02501,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13129.2,1.12896,1.64211,1.19012,0.00863,0.89847,0.7002,0.68174,0.70216,0.53335,0.698,0.68125,0.69962,0.53278,1.31733,2.0956,1.49429,0.0233,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13522.8,1.11393,1.64179,1.18413,0.00865,0.92585,0.72448,0.67558,0.70669,0.52115,0.73962,0.67365,0.70427,0.52411,1.36799,2.09348,1.57953,0.02472,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13915.7,1.11578,1.64646,1.17528,0.0086,0.88446,0.74835,0.669,0.71167,0.53083,0.74525,0.67307,0.71181,0.53617,1.34152,2.023,1.50499,0.02418,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14308,1.12054,1.65772,1.16799,0.00854,0.90605,0.74408,0.67358,0.72776,0.54712,0.74248,0.67535,0.72194,0.54278,1.32094,2.04987,1.44732,0.02353,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14700.8,1.109,1.62447,1.15155,0.00875,0.87895,0.77486,0.66327,0.73055,0.55047,0.77435,0.66178,0.72724,0.55505,1.3063,2.06189,1.45166,0.02342,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15093.7,1.09764,1.60832,1.14618,0.00842,0.86539,0.75588,0.65914,0.71464,0.54033,0.75184,0.66234,0.71099,0.53746,1.33485,2.17657,1.54199,0.0238,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15485.5,1.10211,1.57918,1.13677,0.00831,0.87096,0.73227,0.67436,0.71847,0.52926,0.72571,0.67565,0.71173,0.53124,1.32662,2.04755,1.48966,0.02429,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15878.9,1.07934,1.57541,1.11645,0.00855,0.83927,0.73192,0.67453,0.71332,0.53304,0.72697,0.6724,0.7055,0.54085,1.34035,2.08687,1.61569,0.02453,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16272.1,1.07499,1.55846,1.10464,0.00828,0.84654,0.73973,0.69122,0.72546,0.5541,0.74687,0.69563,0.72438,0.55161,1.29192,2.01682,1.42147,0.02285,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16664.6,1.08082,1.58397,1.12087,0.00834,0.83024,0.7205,0.69593,0.73111,0.54387,0.72242,0.69746,0.72716,0.55048,1.29043,1.98876,1.43108,0.0232,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17056.3,1.06216,1.55392,1.07578,0.00818,0.82914,0.76108,0.68819,0.73276,0.54853,0.76777,0.68213,0.733,0.55398,1.30714,1.97363,1.39167,0.02369,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17447.7,1.06443,1.55494,1.07658,0.00825,0.80638,0.71133,0.69476,0.72381,0.55197,0.71632,0.69366,0.72277,0.55426,1.31007,2.05394,1.50727,0.02347,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,17842.5,1.07937,1.58944,1.08643,0.00826,0.80823,0.75406,0.70298,0.74105,0.56231,0.75642,0.70176,0.73763,0.56003,1.29059,2.01189,1.41531,0.02309,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18234,1.06121,1.56501,1.07973,0.00811,0.80542,0.76525,0.69181,0.74533,0.5651,0.76941,0.6834,0.73757,0.56076,1.2985,2.01501,1.3806,0.02341,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18626.4,1.06026,1.55023,1.06131,0.00814,0.7671,0.76162,0.70168,0.75124,0.58249,0.76828,0.70095,0.74806,0.57572,1.27107,1.97004,1.4287,0.02257,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19018.6,1.04539,1.50985,1.04797,0.00813,0.75653,0.75073,0.70949,0.75642,0.57826,0.77689,0.69004,0.75086,0.57628,1.27059,1.97084,1.38373,0.02241,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19410.6,1.03188,1.50552,1.01814,0.00774,0.77038,0.77218,0.71855,0.75604,0.57639,0.7718,0.71699,0.75431,0.57414,1.26074,1.94567,1.35227,0.02266,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19803.5,1.0352,1.50189,1.02507,0.00821,0.75879,0.80337,0.68276,0.75776,0.57792,0.80638,0.68949,0.75679,0.56833,1.28434,1.99588,1.3832,0.02282,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20195.8,1.04663,1.53232,1.04032,0.00803,0.77261,0.75646,0.72313,0.75274,0.56437,0.75914,0.73541,0.76068,0.57872,1.29839,1.95074,1.34592,0.02392,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20588.3,1.01987,1.46888,0.99022,0.00762,0.72714,0.74975,0.7188,0.75625,0.58243,0.75,0.72858,0.75878,0.58175,1.26292,2.02762,1.34657,0.02238,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,20980.7,1.02818,1.47974,1.01,0.00786,0.73937,0.78372,0.719,0.76905,0.5878,0.78361,0.72316,0.76784,0.58584,1.27069,1.9549,1.34529,0.02271,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21373.4,1.02062,1.47645,0.9851,0.00741,0.67642,0.76581,0.7105,0.75762,0.57794,0.77074,0.7145,0.76144,0.57711,1.26899,2.00823,1.39143,0.02268,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21766.7,1.02639,1.47427,0.99271,0.00785,0.7197,0.78709,0.70256,0.76814,0.57621,0.80181,0.7011,0.76512,0.57477,1.28135,1.98025,1.36005,0.02289,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22158.9,1.01167,1.47317,0.97918,0.00755,0.71729,0.78783,0.70942,0.76273,0.58747,0.79417,0.71036,0.76023,0.57811,1.25041,1.95842,1.3613,0.02206,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22553.1,0.99615,1.44478,0.96736,0.00764,0.71806,0.81172,0.70825,0.77502,0.58598,0.81575,0.71093,0.77369,0.58358,1.28086,1.96095,1.34577,0.02299,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,22947.9,0.99236,1.42036,0.94468,0.00717,0.65696,0.79617,0.70718,0.76958,0.60264,0.78788,0.71399,0.76462,0.59102,1.21386,1.94038,1.32809,0.02094,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23341.4,1.01153,1.4693,0.961,0.00749,0.69108,0.82259,0.70747,0.77759,0.60215,0.82386,0.71898,0.77639,0.59659,1.253,1.94335,1.29575,0.02198,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23734,0.98192,1.41232,0.92982,0.00749,0.66553,0.78826,0.71861,0.77568,0.6027,0.79378,0.72312,0.76987,0.5906,1.22931,1.9589,1.32611,0.02157,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24125.1,0.9621,1.35104,0.89843,0.00719,0.64801,0.77435,0.72816,0.76923,0.5912,0.78985,0.71962,0.76756,0.58907,1.22676,1.98923,1.34343,0.02135,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24516.4,0.97367,1.39308,0.90644,0.00707,0.65243,0.79486,0.72974,0.77245,0.58786,0.80732,0.72321,0.77108,0.58735,1.26355,1.97348,1.32266,0.02238,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,24907.6,0.97584,1.39631,0.92793,0.00732,0.65933,0.79096,0.71547,0.77482,0.59369,0.80352,0.71979,0.77652,0.59118,1.2367,1.97253,1.32786,0.02162,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25298.2,0.96468,1.37191,0.90637,0.00745,0.65629,0.79753,0.72154,0.77675,0.59906,0.80571,0.71726,0.77309,0.58817,1.25208,1.97781,1.30742,0.02213,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,25691.4,0.95982,1.39695,0.90273,0.00737,0.63656,0.81274,0.7085,0.78235,0.59382,0.81366,0.71098,0.78106,0.5895,1.2414,1.94116,1.31592,0.02189,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26083,0.94769,1.34299,0.86746,0.00711,0.63337,0.80629,0.72716,0.7821,0.61005,0.79354,0.7406,0.78251,0.60285,1.21445,1.93855,1.32788,0.02118,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26476.4,0.93027,1.31769,0.85266,0.00691,0.61366,0.79781,0.72304,0.77558,0.60425,0.79441,0.73569,0.7756,0.59668,1.21618,1.93293,1.31762,0.02155,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
