epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,5968.74,0.81939,1.22349,0.84413,0.0077,0.6207,0.60552,0.82508,0.71118,0.5964,0.61544,0.83204,0.71961,0.59631,0.67172,0.874,0.5307,0.00811,0,0.000306508,0.000306508,0.000306508
28,6187.48,0.81396,1.22896,0.82602,0.00753,0.62423,0.61918,0.80183,0.67891,0.57526,0.6259,0.79362,0.68194,0.5689,0.64368,0.88908,0.5439,0.00773,0,0.000304066,0.000304066,0.000304066
29,6406.39,0.79565,1.17411,0.80876,0.0075,0.59955,0.63775,0.78145,0.69506,0.58285,0.65021,0.78958,0.70433,0.58159,0.65344,0.86964,0.51039,0.0079,0,0.000301624,0.000301624,0.000301624
30,6625.07,0.78691,1.17741,0.79302,0.00739,0.58545,0.61959,0.82428,0.69061,0.57756,0.62803,0.83016,0.70114,0.57293,0.67232,0.88857,0.51846,0.00845,0,0.000299182,0.000299182,0.000299182
31,6844.33,0.79108,1.16351,0.78397,0.00727,0.58235,0.62003,0.81742,0.7019,0.59475,0.63544,0.81595,0.71272,0.58971,0.63899,0.91506,0.51856,0.0076,0,0.00029674,0.00029674,0.00029674
32,7064.12,0.78666,1.16006,0.77215,0.00713,0.55701,0.60078,0.80175,0.67517,0.56955,0.60329,0.79944,0.67788,0.56597,0.64351,0.88178,0.53872,0.00767,0,0.000294298,0.000294298,0.000294298
33,7283.38,0.78262,1.16578,0.77859,0.00723,0.57081,0.60753,0.73791,0.65976,0.5593,0.61961,0.74491,0.67425,0.56131,0.64385,0.86987,0.57143,0.00775,0,0.000291856,0.000291856,0.000291856
34,7502.61,0.77676,1.16694,0.75869,0.00713,0.56274,0.60196,0.79062,0.6842,0.57714,0.60911,0.80084,0.70006,0.578,0.63056,0.86468,0.50421,0.00736,0,0.000289414,0.000289414,0.000289414
35,7721.21,0.76705,1.13425,0.75069,0.00713,0.57509,0.63125,0.76156,0.68817,0.57903,0.64354,0.7711,0.69675,0.57944,0.64918,0.8552,0.53342,0.00771,0,0.000286972,0.000286972,0.000286972
36,7939.61,0.77413,1.15099,0.73875,0.00714,0.5505,0.60793,0.80554,0.68206,0.57436,0.61525,0.81403,0.69266,0.57035,0.64979,0.88062,0.53325,0.00775,0,0.00028453,0.00028453,0.00028453
